,result,content,sentiment
210,neutral,"In 2007 , Contempus generated revenue of NOK 69.3 ( approx .",neutral
3338,neutral,The proposed consolidation activities will impact approximately 30 positions .,neutral
1993,positive,The layoffs were aimed at reaching an annual savings target of 1.5 billion euros $ 2 billion by the end of 2010 .,positive
4240,neutral,The appointments will be in force until the new CEO has been appointed .,neutral
4175,negative,ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,negative
1169,neutral,Also Chile is an important market area for forest machine companies .,neutral
2968,neutral,"Indigo and Somoncom serve 377,000 subscribers and had a market share of approximately 27 % as of May 2007 .",neutral
2042,neutral,"The company will pay a dividend of EUR 0.50 per share , a total of EUR 14mn .",neutral
3160,neutral,"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",neutral
1099,neutral,The issuer is solely responsible for the content of this announcement .,neutral
4168,neutral,Among the biggest Christmas sellers were a  35 satin bow shift dress styled on outfits worn by Victoria Beckham and a  75 Paris Hilton Prom dress .,neutral
3472,neutral,"- The Group - s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million .",neutral
4323,neutral,"Information system supplier Sentera -- up 24.51 pct -- was the next most heavily traded share after SysOpen Digia , a software house , acquired 77.4 pct of the company this morning for just under 33 mln eur .",positive
1104,neutral,"The relocation of Ragot has already started and will be completed in the next few weeks , with the Waterqueen and Tortue moves planned for mid-2008 and VMC Europe during the third quarter of 2008 .",neutral
3021,neutral,"MANAVIGATOR-November 1 , 2010-Deal snapshot : SWEDISH PEAB BUYS EQUIPMENT RENTAL FIRM CRAMO Swedish construction company Peab AB ( STO : PEAB B ) announced the acquisition of equipment rental company Cramo Entreprenadmaskiner AB from Finnish group Cramo Oyj ( HEL : CRA1V ) .",neutral
1154,neutral,"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",neutral
3059,neutral,"Nordstjernan will make the offer in approximately one month , in September 2007 .",neutral
471,neutral,"A In August 2007 , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , central Lithuania .",neutral
545,positive,"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market .",positive
3392,neutral,The value of the order is EUR 4mn .,neutral
890,positive,The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive
3765,neutral,"The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company .",neutral
359,positive,Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,positive
247,positive,Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,positive
3038,neutral,"N +1 Group will pay EUR16 .5 m of the transaction price upon closing , and the remaining sum in 2012 .",neutral
2930,neutral,He joined Rautakirja in 1997 to lead one of its four business areas and took up the position of President and CEO in 2001 .,neutral
246,positive,Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,positive
1237,neutral,"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .",neutral
1714,negative,"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .",negative
410,neutral,Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397,neutral
3178,neutral,The combined value of the orders is almost EUR 3mn .,neutral
1744,positive,"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks .",positive
4163,negative,"According to Laavainen , Raisio 's food marketing used to be reactive and inconsistent .",negative
2355,neutral,`` There is no room to modify the share component as we have already indicated . '',neutral
